Sr.No,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
21,Bolivia (Plurinational State of),220.27227075624342,233.40737510813574,266.7351844293001,265.0519363438123,428.605157447823,467.80526288592756,524.1112943644017,515.0932158271785,550.1070003839999,583.3302746521804,554.9840660744675,618.0603530231483,587.5859625874804,549.8359744756935,537.8970254034095,533.0924150977487,536.3873516081487,568.3916873688512,675.7148311003757,678.6413185027483,685.9427176755764,737.5213724832288,763.2606756906613,760.1176216840479,777.4160933416483,856.3651138424012,925.849118902379,973.9625701292096,1025.4094316971282,981.7529229218895,977.3294709249384,930.8757307570802,888.1985764381654,892.3553805326529,951.9196365975329,1018.313661496479,1200.0680919272988,1351.0351547112025,1687.5785666614315,1725.1462859213466,1922.0586623873933,2304.982295708841,2562.4667843291345,2853.7971614310486,3022.4628839981624,2975.64881136538,3013.502707756316,3280.0082134578015,3471.0069506501045,3472.3808307623167,3068.8125550796917,3345.023002265688,3600.121634867724
22,Botswana,112.7868428502994,145.84775768907443,183.04056953289927,257.7931296195464,340.5486556492719,376.53498371382005,387.4658546474147,474.4063974521243,536.750631489813,665.44278380495,908.2073022096718,991.4534329825793,834.2693989201474,873.3652368598682,882.3408754340143,735.5656587052754,949.1178595295719,1263.5572875569146,1417.6152167205935,2320.2369924446466,2774.026284057745,2801.2854765598727,2864.2195782553713,2791.9850546692956,2832.812881361159,3064.5863532027297,3063.994872776734,3100.165355005151,2893.32874464307,3242.1371601775504,3351.6861149628903,3115.702636779626,3016.5938633622886,4075.9926371273036,4755.594273068746,5156.081083426958,5137.390643008041,5372.327145868332,5345.846395310832,4938.252010076827,6041.73570201238,7080.775585451484,6410.927622412456,6436.601865749247,6844.033074364578,5869.7295562140025,6411.553469249392,6705.339801838342,6947.818053105123,6679.198024813418,5863.185477700797,7238.7960959064685,7737.6546802345
23,Brazil,367.125782362196,400.134370856271,502.6491673100134,694.6496401895408,869.6040412026939,998.7370468460616,1153.288404746201,1311.0061392335872,1453.7651445184658,1565.3434999557467,1440.6411143849368,1792.6420297708269,1918.8195839914913,1320.909369564807,1313.666953221417,1376.9759348051257,1621.3310773306137,1742.7789344137684,1909.387088370732,2549.012255414309,2712.711688653657,2480.6458432956792,2337.144996482818,2580.532942730288,3623.062011770044,4780.810924416297,5141.284881527483,5254.835050558103,5015.540329039702,3440.522905054304,3726.8112000515093,3142.234411299583,2824.714911629008,3056.648974727106,3623.2235106675585,4773.269572338817,5866.0243130758845,7323.190507487222,8801.75922357592,8569.900891430292,11249.293741071773,13200.55816618789,12327.515555834529,12258.564849171698,12071.404654748074,8783.214413107182,8680.735420548273,9896.717510996696,9121.020092499584,8883.903092241835,6923.700197150645,7696.785130293595,8917.673508626074
24,British Virgin Islands,1212.1653272101034,1021.8668093345563,1056.7186837589584,1182.9152525454183,1396.4651094027204,1513.845652596771,1627.1588991177598,1658.4061259217244,1899.6507877318916,2337.31987863185,2856.153209109731,3024.1283124128313,3434.8650012616704,3736.9730410069023,3963.656943464283,3987.6860324193303,4195.6743555946105,4840.354607919529,5263.664770780511,6062.624014313167,7676.728565025293,9743.204474829086,12211.002184996358,16011.965529516465,20324.538162851346,25651.709233902908,28297.547626931566,32064.79032865365,35973.236752450335,39240.08740937404,42659.731098288896,44779.41559761824,42164.634160090194,36989.07255936675,37504.790050627336,42283.16499978721,45054.97409858981,47461.50208407765,45713.546199502205,39668.336562638666,40555.595877485845,38402.1171590015,39296.64684564231,39499.94765676798,41504.608056332196,43647.07484846421,47270.58744409698,43569.52761144378,45719.465963408606,49448.872917347275,46222.90520867033,46915.89505815822,46996.74994409839
25,Brunei Darussalam,1686.777120992023,1789.1104151322606,2364.0143594465976,3649.1482662051208,8738.105417132978,9190.990733644137,10827.978164194914,12759.537323637256,13842.090100199626,19354.468240991726,32941.98950841768,28253.148532816573,26694.720873214086,23268.693171152117,22129.560204478075,19923.975775145245,11741.865712942876,13039.857481735631,12002.706015852575,13033.745763597282,14892.26966418019,15197.154317561228,16714.01975122107,15979.010210649029,15513.861681720071,17537.525408633763,18511.621486165473,18383.94400578228,14016.898635749903,15583.478430822475,19913.720680731858,18213.462449559687,18634.309248111505,20522.589791909704,24198.921885848322,28799.571627577647,34092.22581964444,35830.2988454079,41471.734756225924,30468.799180728878,34609.297920329394,46138.26636192449,46844.196718554755,43949.63559885499,41035.76022169864,30681.45016724454,26761.56723242754,28186.94653134417,31240.444448099595,30748.320153095483,27179.344444796407,31448.91360813847,37152.46623839549
26,Bulgaria,1048.5905204728335,1029.050237332736,1196.2326877938133,1417.5502648046227,1531.647163779955,1343.9083970970376,1418.1451133696096,1444.6200744330936,1560.761296566674,1047.1536110337945,1206.1104499997884,1385.2664151072368,1506.5199814146742,1621.7699888695904,1740.6411835613528,1848.509000098546,1970.5999115050295,2147.953496054562,2475.4599947329566,2496.7426931719688,2363.885969428089,963.360712469193,1093.1270834000748,1385.4565108157597,1250.737922350266,2240.2473575567647,1463.4232104433827,1360.283456408449,1825.277942844206,1670.7392314991278,1635.7749010019202,1765.2391397503163,2056.8562852527325,2670.58003677832,3325.708294163087,3821.853038104841,4427.035975318816,5756.064783492856,7098.537940959114,6814.098778659663,6676.401585653373,7646.8611783573015,7250.87330469753,7511.506522906648,7742.783574734144,6945.4328771840665,7442.667846404579,8237.834759818617,9319.715186840709,9767.173367811269,10058.97964973668,12204.368626901885,13301.923709831002
27,Burkina Faso,90.20879462191644,90.53419823982885,113.66089228115081,129.24912651458715,139.74959544302777,162.9867618424491,153.00925254632855,180.6460581086321,227.09849671682423,296.9654318297994,313.6094357373679,282.841486962113,252.404972365178,224.20452758691354,194.73258615872314,221.09123131275214,281.910123692559,319.2318623203332,343.1120623335708,334.11916996528987,385.929247052586,380.373909041912,397.3722574154621,369.4710262042781,213.4163430366606,261.1477340752421,276.7078502690847,255.21499652934708,284.53325588636477,293.77967319763826,249.1816556186167,260.21579633302844,285.40632949843064,363.00277339683925,404.72463796053813,442.76826679218624,456.9358167222223,516.0677517851001,619.3832771562567,601.4567630139346,626.6589787116195,726.6603145111918,734.0148627652602,762.0871221552645,766.3506610459303,631.648324537149,665.7860658948011,711.1846307603607,779.2027680607391,772.5424871444393,840.2501425190061,904.4749299800563,845.7605314960063
28,Burundi,70.16815868995923,70.49459430680345,68.82952331859138,85.53714793550557,94.63738924027795,110.65563581918931,119.38047104297027,138.31981416619507,151.90804817755287,191.6245357801084,220.5484581342312,221.15370317215758,227.1680413623815,234.20695554206077,207.79456310104584,236.69049162712795,244.68004111063553,225.3050545633424,206.59200258455758,210.58221965563084,209.4024852553859,208.6572023551498,189.23682610090492,175.48502058200484,191.32527659207787,168.62750879393025,146.52387179597318,164.22634994277658,148.07696119779047,130.76478986115345,112.42098482104265,102.439453988292,94.46644805285948,86.79415517028625,95.48289166763752,151.18804052928914,166.27624522876096,170.7067600772484,194.71073647169007,203.86070255564616,222.6608502289184,236.45017335778527,237.59957727208084,241.54950301823618,257.8229314494349,262.0017584876099,268.73329105081075,295.6209362974511,288.6263937146498,283.66986998721563,282.43105775771164,298.1703493745674,312.874377575316
29,Cabo Verde,253.91682077872326,280.34938170273534,313.55363883349037,383.8962318040981,381.4397358956128,440.132703669014,407.1855460052778,379.05320988808955,433.09950301223165,460.93636275998404,509.95060020971226,493.1848383703192,490.1985382937375,475.9406083480564,447.68894329025267,461.0158756766901,630.039605660479,770.1542912429882,854.3310007365747,852.1594592087458,960.9644953999382,979.7901709826488,1067.306113319755,1049.5876780540075,1158.188445965758,1356.2905450880962,1363.789383091704,1302.8204618215852,1358.0550626886616,1509.6045925329977,1338.228233766698,1391.246632926076,1529.6299326990168,2000.9255638781226,2269.7283828887976,2385.788753905617,2719.7553990744864,3270.2378541907287,3842.7947810667297,3622.1076876518523,3501.8134987051535,3877.7984508644367,3604.193545297006,3758.6389262916973,3735.706612443372,3167.7963100559873,3312.702076142736,3534.3435830447934,3860.4548113613228,3928.309096202135,3223.7356017049124,3557.837775391399,3902.589049400593
30,Cambodia,114.43973261423746,114.44213841719427,111.73084082699334,94.32738660648612,96.57494956240242,106.96618122215058,120.3822918512378,113.91765711428715,123.54638267776495,114.88595198244045,115.35827277401155,123.04033540992681,125.60510152094469,131.1168194343934,137.51309402863646,143.6115660331508,146.41053452244526,175.14999526434357,203.19591004047558,203.21530617469801,190.52363691505082,242.8043613783014,246.30587516363195,237.59892344086947,251.6077624982515,303.06767850772366,313.5866759679182,301.22477727512734,268.2370270165648,295.21608735441123,302.55678456212434,323.53197698520154,341.4653774034244,364.79482188589884,410.0912381775901,475.06939431039416,539.7473653368949,629.9210767441036,742.3979724183354,734.8151186441283,782.69573872445,880.3103044120063,950.4825446138351,1015.2208814088921,1098.0745375704444,1170.742815770486,1281.1059711162761,1400.899265289042,1533.3159845233909,1671.9143926097406,1577.9117393170138,1625.2350211622943,1759.6080235368654
